,0,1,2,3,Type
abreujo02,0.117,0.0,0.883,0.0,2
adamecr01,0.0,0.0,0.0,1.0,3
adamsma01,0.0,0.0,1.0,0.0,2
ahmedni01,0.0,0.998,0.002,0.0,1
almonab01,0.0,1.0,0.0,0.0,1
almoral01,0.0,0.0,1.0,0.0,2
alonsyo01,0.0,0.002,0.998,0.0,2
altheaa01,0.0,1.0,0.0,0.0,1
altuvjo01,1.0,0.0,0.0,0.0,0
alvarpe01,0.0,0.0,1.0,0.0,2
amarial01,0.0,1.0,0.0,0.0,1
anderti01,0.0,1.0,0.0,0.0,1
andruel01,0.0,1.0,0.0,0.0,1
aokino01,0.0,1.0,0.0,0.0,1
arciaor01,0.0,1.0,0.0,0.0,1
arciaos01,0.0,0.035,0.965,0.0,2
arenano01,0.0,0.0,1.0,0.0,2
ascheco01,0.0,0.037,0.963,0.0,2
austity01,0.0,0.008,0.992,0.0,2
avilaal01,0.0,0.0,1.0,0.0,2
avilemi01,0.0,0.02,0.0,0.98,3
aybarer01,0.0,0.999,0.001,0.0,1
baezja01,0.002,0.945,0.053,0.0,1
bandyje01,0.993,0.007,0.0,0.0,0
barnebr02,0.0,0.0,0.0,1.0,3
barneda01,0.0,0.221,0.779,0.0,2
barnhtu01,0.001,0.112,0.888,0.0,2
bautijo02,0.0,0.0,1.0,0.0,2
beckhgo01,0.0,0.61,0.39,0.0,1
beckhti01,0.0,1.0,0.0,0.0,1
belljo02,0.995,0.0,0.005,0.0,0
beltbr01,0.987,0.0,0.013,0.0,0
beltrca01,0.0,0.0,1.0,0.0,2
beltrad01,0.0,0.0,1.0,0.0,2
beninan01,1.0,0.0,0.0,0.0,0
bethach01,0.0,0.142,0.858,0.0,2
bettsmo01,0.0,0.0,1.0,0.0,2
blackch02,0.0,0.0,1.0,0.0,2
blancan01,0.0,0.992,0.008,0.0,1
blancgr01,0.0,1.0,0.0,0.0,1
bogaexa01,0.0,0.0,1.0,0.0,2
bourju01,0.987,0.0,0.013,0.0,0
bourjpe01,0.0,1.0,0.0,0.0,1
bournmi01,0.0,1.0,0.0,0.0,1
