,expected_runs,actual_runs,league
BAL,5.884593240791259,4.59,AL
TOR,5.575951978021928,4.69,AL
TBA,5.533683291883653,4.15,AL
ATL,5.092322112031633,4.03,NL
NYA,5.130643744685406,4.2,AL
OAK,4.7050994570590925,4.03,AL
HOU,5.907152283623849,4.47,NL
CLE,6.223614802353394,4.83,AL
COL,6.4761877810536195,5.22,NL
SEA,5.767180799303217,4.74,AL
CHA,5.256002584489446,4.23,AL
ANA,5.206428131653529,4.43,AL
TEX,6.055165675833657,4.72,AL
SFN,5.514614464368641,4.41,NL
MIN,5.81307069902795,4.46,AL
DET,6.136764025401769,4.66,AL
ARI,5.929215430169537,4.64,NL
KCA,5.097749960175604,4.17,AL
SDN,5.114001725775248,4.23,NL
SLN,5.82784146008152,4.81,NL
PIT,5.550741136218927,4.5,NL
BOS,6.638213127981491,5.42,AL
MIL,5.916717109163004,4.14,NL
WAS,5.985090477261206,4.71,NL
PHI,5.120632109413703,3.77,NL
MIA,5.184804691760815,4.07,NL
NYN,5.379666378720444,4.14,NL
LAN,5.444594917752283,4.48,NL
CIN,5.7835963264503105,4.42,NL
CHN,6.4739706857570125,4.99,NL
